S/N,Category,Title,Price,Item_url,Image_url
11,shoe,3 Pairs Mens  Ladies Invisible Socks Trainer Shoe Liner Black White Grey Sock ,$3.41,https://www.ebay.com/itm/384334917060?hash=item597c256dc4:g:4D8AAOSwr6NhLw1R,https://i.ebayimg.com/thumbs/images/g/4D8AAOSwr6NhLw1R/s-l225.jpg
12,shoe,Diadora-Sneakers n.92 for Men and Women,$37.13 to $56.22,https://www.ebay.com/itm/353264600477?hash=item524036059d:g:M2QAAOSwS1hgp7BQ,https://i.ebayimg.com/thumbs/images/g/M2QAAOSwS1hgp7BQ/s-l225.jpg
13,shoe,CONVERSE ALL STAR Orange Quilted Sneaker Low Shoe Mens 9 Womens 11,$23.99,https://www.ebay.com/itm/304161634994?_trkparms=ispr%3D1&hash=item46d1723ab2:g:i-IAAOSwK5ZhP9gb&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSzaVbXtmGxqmWnpn8RLN2q%252B%252Fiixdj3iWmya%252Fxaa51gHvdPyTOeEEIqtKTjuFrrH%252FvJdJ3dsOB5cJtNxKorI8uagHICgIWonAwVzIHrbsAosKIz9OZq7vzP6e6kJZP9zlWjaxSoObXE%252F2iV7WU0WlhmePqu8QywvSceILUT%252BK%252Fxp282h1K06bM%252BPwkE0JcFKfrI2ecrL7XziEhX58hN3e%252FQfUXdW4Vp9FvS4IOm3OCfcekYfRYzWLr9QmkOzGLjtP49CO0%252B3uB8LKX7dA2BMpEADaAPz5Wx5cv6jLnz2Icv%252BEmvpE2DjC81aC84uMrKJ2nB15OoloL48vbEQuZ3iEzSvfl5a86G4XDsNnsmgisYYwFASlx9z2heqeMWWHeHuI6R%252FVURHY2X53Vp9dfq3fiAFhgdbbD5ycdzMr7wozwycT8wpVF%252FMRmNLra2ruerOC80IAXqeQBxoUWYBJK3Fj0N3WuRo2wGNxXZRAONuRft5pC0vGP7vjAFpwriMhFV%252FaqlTJVWJxk1QlZKQ0vWXqW7znsrRO9fzdum9UbHkd2koKT4UivgxheBkUXTxx2Fg1ALMBmSdGiApZZFuzNTGZUGF%252FuWmktQmfDvlsU2vXeE1GXm3ecKM4WyNhHtrr3zmf010TF%252Fb19bTwTtfDTnKNTFfmLtFUpbnwh4OpTGbCPlBPjrfSxw85oHcBA2XwogPHnSOJm6gwRiup4oyTRknhk0KWOPBVm3o3FHsPbtViuNsh02W5VH8MLswkmsT6OkbAH8jFPNsTC3x3Ta5DBF8CwVjhjqUrm%252FCzC%252Beh9hENkHgVdeaIvt%252F0S4R%252BthhqUuhIs%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/i-IAAOSwK5ZhP9gb/s-l225.jpg
14,shoe,Water Shoes Men Summer Pump Breathable Sneaker Swimming Boat Athletic Sport Shoe,$13.99 to $15.99,https://www.ebay.com/itm/353493371116?_trkparms=ispr%3D1&hash=item524dd8c8ec:g:VUYAAOSwbSFe5sW8&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd0ReTLyM7cxPnI6zs468EDuQg9gaOyTem2x2RNN%252B5I5ayFHoNTTlih4CRjq6SKUS9ojZ8IinF5ABGNkGZOhEVOpD6df5nGmHLO1GiBZtksa1BMa%252Bm6kNkJ3WiCYvdceFsa2CUc6hSBH4EPiVQ%252BW4DpJLZ51xwBt0FySoJhCuCffpswOaMXG05Yo93wlf0KQOCaTu3XwXn6KaJdPNNr89876HiSTccju7hmQfzbKscqfJP5gouDuEezQCQPpU5MzSyy5FNYV53dStvK9tovhegZeM1vD3mUgPkXlv5Tct2qeLokEwjxBBaqsN8NO1TgduU7nmLeMlOV9BpdwY5OV7z3AkEENBEFPg5mb1gTt%252Fgp2fmM3K4yjKe1pFYl4DqYgi91%252FQfoTrPHDlBloVOhmCaCVzzVi01xgwnYOTaSLjz9t7HvkRNVQjYno5ZtD1qSl7hxC9kXGPHmXkOnTlu2X22yI6xki5Rs2rqiRCRrT11zJ8A8%252B9k%252F%252BYxmnjXCP5Q1I%252FvCloVxMo32hFDcXVL1B1MsF48NJSJx3JOh5RQoBqpwKEdDaVIMJFQn%252FMancOivIYFmQZBo2PJIrIVaBQep2adbiCqFY17ZbLm4zu8RB6o6RNr2btD7mHHWAi7xp4Xb3ZRNek6oeIhhT%252BeJ78JkWZtCR6DS21idp8z%252FL%252FR%252BIIoCO9aQk2TfTv1k43y36%252BZv6B7mOplQX2L8Q%252B0q3jvp2HUhkCP4cyWn5aU47DsDiPNi7ZA8kvGIa%252FT2D4LITcXGbiIOIVT%252BqVYoJq1iFwPyLI7Gd%252FHhClgword91ZZz41EApyyRQypI5PDG1%252FeQM7nwKP%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/VUYAAOSwbSFe5sW8/s-l225.jpg
48,shoe,JUST SO SO RUNNING SHOES MEN'S SIZE 9,$5.99,https://www.ebay.com/itm/255149252459?hash=item3b68149f6b:g:utkAAOSwfXFhThJE,https://i.ebayimg.com/thumbs/images/g/utkAAOSwfXFhThJE/s-l225.jpg
15,shoe,Puma Unisex ST Runner v2 Mesh Sneaker Low Top Sneakers Running Shoes,$63.25,https://www.ebay.com/itm/133740080050?_trkparms=ispr%3D1&hash=item1f2387abb2:g:vtsAAOSww4hg~Rh5&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSHYXPhGXR5uguexJBeHwfgX8kR2zbPqEJ9YUQRKrGnrLsK%252BhJauoBRK2vxOapXePsZRGxs%252BjJ%252BtW%252BomaUIgLN6jwoVpjyKId63jAC2UtLFDLseRV%252BGF%252BaSk97kT4wfrPIWPNWz%252F%252FZKr6rIaRfHeIMk5loVQGzytTA%252FX3wuSrrCq%252FqAmKjqs5izjna4zbQT%252B089WmHslp%252B7yAfC9ExD9gPXil%252B1D2kJ1QkKoRvIAbU4ViYul1isl1NuG%252BHXxvGF6CYOaDh9PajfE7COhylECPOCEpJQtR6TmO9th9moeS7t31E8EvE6efbljdwWEiT%252FzTkWQF6hLP6eXb01bjeMJfKq7%252B0C1G6HewyG9BKSznQ1pUJPYtiLwyqoUAtP%252Fd%252Fyzkf%252BcRijOruejoEIuZBykDf0kZWNIfyni3vggmIX3ukBxmb1hGzTxTTtLRCyGF3%252BEjAX5hyM%252BMoRmOQi6xSYOrgj3ctcvGQqxC%252Fpxj2nTG5zupiWqH1sCmiGsAz%252BzDtJShl0Mv7MwThZP0uF2UvUtLvhjDjmYXf5fxnjDHrSSTJ6EVUGHNbAbUVnC6RyylSFaVKLfy1JSBGKVv7vny7VyqSj8aUyrReXGDibIY2FcszjX3c5K7YiTR2KRrUBeCyJbVwmvomqh%252Bt10i6OU1N35CUSWOYywS2bWBhrFk%252BzKHqnR1lzvH5tjoYCCr1pm%252FPGOO%252FCdRwV8uwZAWt9zZsHK5FHd5yLVwes%252F4gBEo%252FfKUWw9ag5reZ93res972zuVryxo2ZNm1hX6kjWxwSUbsDPA5iqc2Un5qOKh28ornaQm8eAUM5Q0Ck5uDOm87w7OG4k6c%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/vtsAAOSww4hg~Rh5/s-l225.jpg
16,shoe,Air Jordan Spizike Stealth Men's Shoes Size 13 Black Varsity Red 315371-001 Nike,$79.99,https://www.ebay.com/itm/203626708448?epid=2310850171&_trkparms=ispr%3D1&hash=item2f6918fde0:g:HBcAAOSwzelg7Fns&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSjVt3vLKCbov98Z19qhuwY8xfSW%252Fpn2bqvDE%252Fxam1weYsDSgzHbVPs5duVnTdtzotypZquKmY3KPeae47ZN2HxcNwtBgw17F%252F0oLKBeCoRARXJVeaV8jsHBYNLn7%252Bu8vpzPvkvyfzfpv30eI3Jf8DyMrh%252B79xrQz2KUw2AuX4K%252FcTN3bPySCJhcxbNbAq%252FoDrnEi%252BTG63mx7ns5Zo%252Bl3tpMHE5cT0Hjyr1nckApyEjDAGC1pQ2fQJo0h2L8fXW%252FNPPfkQx03IIcMH0%252FwmoyPuqaIUbhom2qJLyYnv0sLF6%252F6qPt7cVb3qx3AZv9Y2QyaTW%252B%252FsFZI4HmxZ8mzd41PpB4q8Shz5VE3vH5%252B7PEQ4q7rzsqsCXYB4N%252Fiiob2KpUuzT%252FPP7j6T9nD31ItA0nnt%252FyB8geCUndIHhauptrPtmzbQm16sMd7H3Z8%252FGER6XJF1%252F%252BIM617zSTj0iNEHoq7xTAe%252BlsbVLc3%252F4yUkxaV97lr28J14VuTSgBgmMO%252FPOez5i5iEJoeMj0Q8W1jk18MfDctHwUmK6ICq9aVxZIetZZuuSwiL4P%252FbMgwMYJF79NPUHGqrSNWl6xXChM1G8GbBDbvwiG8m4ohmVYQpDdQ9G6mIMVkdjOoGhHmL5kJDqwCRj%252BB%252FtYe7UcjbWCXiLcSeMOKI6odT8ma5U4X6Z4D%252BjYIYCvTTbPPBkoHh2iLG78CwucyDFtUgrhNaIoB5H33BU2mtUwaUAtokAY61NbRUt7h0NGYNyxVwTOr3NP3atv8heio6CLDD7Prc%252BDKr1CoHmjZ3bNypHNQbvI7WJ9dc%252F43ObVEqyWQAP0aWj3%252Fg%252B3T%252B%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/HBcAAOSwzelg7Fns/s-l225.jpg
17,shoe, 	 Puma Future Rider Core Casual Shoes Sneakers US Size 9 - 37403803 100,$60.00,https://www.ebay.com/itm/203625731526?epid=14045637254&hash=item2f690a15c6:g:xmwAAOSwgxRhTjBh,https://i.ebayimg.com/thumbs/images/g/xmwAAOSwgxRhTjBh/s-l225.jpg
18,shoe,Brooks Glycerin 18 Men's  Size 11 Authentic Cushioned Running Shoes 1103291D064,$65.57,https://www.ebay.com/itm/224623236619?epid=16041365858&_trkparms=ispr%3D1&hash=item344c96960b:g:U8IAAOSwvrNhTzEh&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvtkx670Z0mbyfWqmxLFLYai1cf3xBwKaCVZXjw2%252FEHuXsX%252BJqaiaQ5cMU9D%252B1E0BHj147R3Hx9NBgf39v4yUINxk0Zlmp6byf38VQHG2Fc1KpuimTjxoNmcV2n9sVHVr4B%252FkctpebG%252FRzqluOaExGwIHoJrkhG9tAV5xhyk6ErI9oRd9AfgGBYOZ5v03z6wzIj0qcE6%252FwqveD6QvW1AUQSlMl4yNj0sn6LfDoWiIDN6z2MHLKMbIUbC%252BiPoj7fwdemUtzJIITXmTwufDy1i2W3CkabawxQoCA2vPQNS5jYejlWqYaOFsHWax4P4cOG3R9hGfY6RYIuWrusFBS5NLPbnQ4SdNfnHNUaHz1Hk2oQqaK%252B9LrbfDrLxLcfxDKA2CdCmH0Yqz%252FCCUf%252BahD4sGEkh909WYZaJfjEgVvX2B0rgH2mAVCMdugb8fk9KQ2sps8DPvBFmQQXjDTnWItvCfb71edsnNznb4SL%252BS%252BoOSStLhtp5vf6DHIe2MrOoKC%252FKF9Qswh8U5ndbAXUzTAcPPbOPnHGcKPIqRaM5X4JAqKrDshCeJc6CrGYrx45ALozs3aMpLwKqkbBDMpt1kfiYoYLq3rarH0vGChkX2lMDGcftqqTBBYZ4rWf%252B2KT%252FV04%252BmIPC%252FUNKGu1dRMwh4%252B2%252FmW7FmIph35q1dtHjMvBC4xDa%252FksDjWWBAJKvQ66f52rGNWRqirsFfyk3GNMTPHDpYwoR1wGrx6PLUEMiiAjUv2pO55yj92msg0q5iy2MgSGtWFzGMYgtbuvluHR5SKmNSUxME%252BN1dtoouTD3ig1slIx16M%252Fatv6re2vMZtQnqRjXa%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/U8IAAOSwvrNhTzEh/s-l225.jpg
19,shoe,Men's THE NORTH FACE gore tex hiking shoes boots Sz. 10,$28.00,https://www.ebay.com/itm/124919385174?hash=item1d15c68c56:g:4o8AAOSw9SRhTzuT,https://i.ebayimg.com/thumbs/images/g/4o8AAOSw9SRhTzuT/s-l225.jpg
