S/N,Category,Title,Price,Item_url,Image_url
1811,Skirt,Fashion Women Double Layer Shorts Skirts Solid High Waist Fitness Sports Skirt,$8.63,https://www.ebay.com/itm/185083258525?hash=item2b17d2669d:g:wqMAAOSwMOFg6ArB,https://i.ebayimg.com/thumbs/images/g/wqMAAOSwMOFg6ArB/s-l225.jpg
1812,Skirt,NEW WITH TAGS OASIS Black White Spots  A Line Skater Ruffle Skirt Short UK10,$8.80,https://www.ebay.com/itm/255150107836?hash=item3b6821acbc:g:e3EAAOSw69thTvMC,https://i.ebayimg.com/thumbs/images/g/e3EAAOSw69thTvMC/s-l225.jpg
1813,Skirt,Long Floral Skirt Size 12 Boho maxi,$8.12,https://www.ebay.com/itm/185084052582?hash=item2b17de8466:g:HukAAOSwNbdhWHX9,https://i.ebayimg.com/thumbs/images/g/HukAAOSwNbdhWHX9/s-l225.jpg
1814,Skirt,Rosie Assoulin Rainbow Tulips Printed Maxi Skirt Size:6 $895 NWT ,$329.99,https://www.ebay.com/itm/124931085796?hash=item1d167915e4:g:ipIAAOSwayNhWSR7,https://i.ebayimg.com/thumbs/images/g/ipIAAOSwayNhWSR7/s-l225.jpg
1815,Skirt,Marcs Tweed A-line Skirt Size 4,$42.82,https://www.ebay.com/itm/124931333920?hash=item1d167cdf20:g:kcoAAOSwP0Jdf0W5,https://i.ebayimg.com/thumbs/images/g/kcoAAOSwP0Jdf0W5/s-l225.jpg
1816,Skirt,Piper Size 12 Green Yellow Elastic Drawstring Short Straight Leaf Print Skirt,$18.87,https://www.ebay.com/itm/284473492721?_trkparms=ispr%3D1&hash=item423bf104f1:g:hjwAAOSwNPVg2~O3&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2DZeJJt%252BRQ8vj3xvSXCsv0KQTr7aVynwfHpMyK%252F2%252F63BokLAHH6dkhyWX9HzQxG3ot%252B%252FiQvByDOYabU09%252B92VaVRWBmm2g1niI1%252BRn5EV099ITgxLyPXJKuZ2Do8PKdxkpohnenjt43PjEwzatQARhJoCchpRYZJQFUgRFTLlpm7xk67LrZLS%252FUgstvg%252FoWfJaLqnnwMRN5eLwYOCFnuqGQneVJsMeVFdqDtWhUJ93ga7zdorTeBQoIwC%252FAPaFFsHn5uS7kZ0Q9dNLnncGFq3uVipJg%252BC8XiNQrSo%252FNW8Am0g5tPeliC6SjO6Tdo734FsSZQRMbtP8yT8uqvZbdlKUmfkZUoeSLtCFK3j%252FCJzn9BpWANjZPB9N2i4dav3GklCTRGOeQHE869hWBRG32vha7BFAWMrBTCyVHLlpTX68zypj1scGY8Bj0mceih1ZSpcBnxwZhnSz5zBicy0s49clF2t778PTjpe1uoNp0sW3fG%252Bq49brcW686BZ6oVcIYFA1RYsZyDIJAr%252FN9jVVo5hNpcLpdCu9X0CFlBc8k8yZOAsxvCNgtRJTvyqrvbC2pDNIPB2NpDZlQoT6zk2fvvVE6Esl8ZR13rmkKoJX4SXFPfrqWt3ko%252BbpAVbfJgRdgcnQajBbcIGkJp3d37cgZa0Gr9H1%252BrdI62%252FTNSfMGd0wSaUmek9x3w%252BLXnTGyoJaME7foBK6x5goi%252BHsWCHimlUB0MrsrxfqY0MFz2GveZYVYos2aW14eGNC5uyIGxIfaHlJrJSBuFBCRS3VzZosbuD7lRUPbqD2pTIie7IxW1Q3rn%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/hjwAAOSwNPVg2~O3/s-l225.jpg
1846,Skirt,Zara Textured Midi Skirt With Knot Size Small,$67.43,https://www.ebay.com/itm/115024671670?hash=item1ac80133b6:g:fsAAAOSweahhAUSH,https://i.ebayimg.com/thumbs/images/g/fsAAAOSweahhAUSH/s-l225.jpg
1847,Skirt,"Ally white skirt, size 12",$7.26,https://www.ebay.com/itm/133892113147?hash=item1f2c9782fb:g:I24AAOSw77BhRwq5,https://i.ebayimg.com/thumbs/images/g/I24AAOSw77BhRwq5/s-l225.jpg
1848,Skirt,NEW WOMENS LuLaRoe ROYAL BLUE W/ FLORAL BORDER MAXI PULL ON KNIT SKIRT  SIZE L,$34.95,https://www.ebay.com/itm/124229963593?hash=item1cecaecf49:g:LUcAAOSwSMZe7mNm,https://i.ebayimg.com/thumbs/images/g/LUcAAOSwSMZe7mNm/s-l225.jpg
1817,Skirt,Cue womens skirt size 10 A line mini white zip belted cotton blend 3.0019,$18.11,https://www.ebay.com/itm/274970533773?_trkparms=ispr%3D1&hash=item4005855f8d:g:GggAAOSwHN5hVstU&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6sYGR13c82%252BE2h%252FZVct2YS%252FXkGU0w13G3Sss497mrzPONlaVS5vdWomHOLP1Fn7stNV4SWGMsnluTwQUX3%252F1KavS5rAb9kBmFhS6FmsAqz5FPMAmyg1QCL3teNZyn%252FKfYxrOKcwCJVsF1oeTPifkhRLLW0JxZyfFDtIjMS%252FMGZ3xdw5B55cgwcqm1Fz7bP8lMt0s7Bsb%252FrrdxPHBQBRkqx0YXw9TapZYxrECRounbso3oN7soEnPg6bcahRFdjP23HLtxeHjayy17Si%252BeSLXap2v%252FZNk1CD%252BqPSTL5dtkIZAt2FQe5x0YdQqDjLpHRR0FRFAw04VQA1r4R7hNRbjGAHDJ%252BFtNsq%252B%252FpkbwEhb7ob1wYLySKsMW4E%252Bu4CdrryQCz6NpR0har6Bx1RX1MryrSrR%252FBzEFHUGd6yQ2cMhmheSAb%252Fzt0Ufa7zJ9Sz2LfLmtvZmttwwMuiByGqniujmb2jQXVS0qCtvKPoCLwf9zoaKIgu0eRZQy%252FDHhx0jy%252Fc0Aetv0X%252Fs3DgVJDWv9wjsmZz9EeZPn6Xty%252FNCiBG0Vnp3BDllNnA5K7hGHY%252B0%252BvnV7F5CtY4aTPPwjfNSTYLSlw5gaZjEvzdPXbLhuVJxgZFIBgTMSBp4X41DEgKSULd%252BNf613f%252Fy7wH0MmArIzXYC6d03lvzTwzWEaScKs8YTEeWtQpaOhV0n2VsOGrt2lp3WOzRNy1T4kl8BEWl0y8K5mo8trPaJwGuMTbLE8YQEJKaWKSwznZ1YVWBwSC1v4Cg0GbmBBDOhB6X1ccUjldiu8REjaxrJKQF%252FiR2Azt1h9Xb%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/GggAAOSwHN5hVstU/s-l225.jpg
